"entrezgene_id" "external_gene_name"
100241389 "VIT_08s0058g01120"
100241268 "LOC100241268"
100242237 "LOC100242237"
100245861 "TAAC_1"
100267416 "VIT_19s0014g00970"
100265359 "VIT_08s0040g00520"
100244774 "VIT_18s0089g00220"
100265119 "LOC100265119"
100245748 "LOC100245748"
100252030 "LOC100252030"
100247806 "VIT_14s0060g01490"
100255795 "VIT_12s0142g00610"
100252167 "LOC100252167"
100252049 "VIT_08s0007g04770"
100253016 "LOC100253016"
104880123 "VIT_08s0007g06470"
100256523 "LOC100256523"
100254467 "VIT_16s0039g02450"
100253139 "VIT_13s0084g00650"
100263057 "VIT_16s0039g00730"
100255318 "LOC100255318"
100266791 "VIT_09s0054g01610"
100241396 "VIT_05s0077g00850"
100265100 "LOC100265100"
100246604 "VIT_11s0118g00510"
100244305 "RRP4_2"
100266795 "LOC100266795"
100241153 "LOC100241153"
100245751 "D14_1"
100245631 "CYP76B6_4"
100241156 "LOC100241156"
100267768 "LOC100267768"
100267769 "LOC100267769"
100243339 "LOC100243339"
100243338 "LOC100243338"
100853811 "LOC100853811"
100248904 "VIT_18s0001g05740"
100253251 "VIT_07s0005g03670"
100263828 "VIT_17s0000g05940"
100256057 "VIT_11s0016g03000"
100259445 "VIT_11s0016g05580"
100262611 "LOC100262611"
100245287 "LOC100245287"
100267076 "LOC100267076"
100253904 "LOC100253904"
100250629 "LOC100250629"
100249888 "VIT_05s0077g02200"
100248555 "VIT_14s0030g01610"
100248556 "VIT_07s0005g02140"
100258352 "LOC100258352"
100241921 "LOC100241921"
100255081 "VIT_15s0046g00940"
100263956 "VIT_06s0004g01090"
100257144 "LOC100257144"
100256054 "LOC100256054"
100855334 "VIT_15s0046g02260"
100261778 "LOC100261778"
100262865 "LOC100262865"
100262984 "LOC100262984"
100262742 "LOC100262742"
100251732 "LOC100251732"
100262741 "VIT_07s0129g00270"
100245295 "LOC100245295"
100260200 "LOC100260200"
100251857 "LOC100251857"
100245291 "VIT_16s0098g01790"
100246260 "LOC100246260"
100245171 "VIT_03s0063g01080"
100250407 "LOC100250407"
100252938 "LOC100252938"
100251728 "LOC100251728"
100249416 "VIT_05s0049g01040"
100258001 "LOC100258001"
100256181 "LOC100256181"
100257277 "LOC100257277"
100263945 "LOC100263945"
100256186 "LOC100256186"
100261408 "VIT_05s0020g03090"
104881085 "TFIIS_0"
100854136 "LOC100854136"
100258219 "LOC100258219"
100240806 "LOC100240806"
100260778 "VIT_18s0001g04540"
100259545 "LOC100259545"
100258458 "VIT_06s0061g00280"
100266082 "LOC100266082"
100245383 "LOC100245383"
100248410 "LOC100248410"
100250610 "LOC100250610"
100250974 "LOC100250974"
100248892 "LOC100248892"
100243086 "LOC100243086"
100250736 "LOC100250736"
100268146 "VIT_12s0035g00660"
100247566 "VIT_17s0000g02960"
100246114 "VIT_18s0166g00210"
100244059 "VIT_11s0016g05620"
100256390 "VIT_04s0023g00140"
100257001 "LOC100257001"
100257259 "VIT_08s0007g05330"
100855115 "LOC100855115"
100256047 "VIT_01s0011g01420"
100261998 "LOC100261998"
100855233 "LOC100855233"
100258467 "LOC100258467"
100259436 "LOC100259436"
100258106 "CHS2_2"
100266192 "VIT_01s0011g01180"
100251831 "LOC100251831"
100266191 "GS1-1"
100250986 "LOC100250986"
100250987 "LOC100250987"
100248660 "LOC100248660"
100250625 "LOC100250625"
100250869 "VIT_17s0000g03850"
100252917 "VIT_14s0060g02200"
109121643 "VIT_02s0025g00830"
100240821 "LOC100240821"
100258584 "LOC100258584"
100263800 "LOC100263800"
100240823 "LOC100240823"
100260539 "VIT_03s0063g00540"
100255047 "LOC100255047"
100259643 "VIT_08s0007g02910"
100233012 "PAL7"
100259402 "VIT_11s0016g03390"
100267391 "LOC100267391"
100246694 "LOC100246694"
100247786 "VIT_05s0020g04980"
100261732 "LOC100261732"
100260883 "VIT_15s0048g00890"
100250960 "VIT_17s0000g00990"
100260882 "LOC100260882"
100244042 "LOC100244042"
100244285 "LOC100244285"
100246460 "LOC100246460"
100267388 "VIT_11s0037g00730"
100246349 "LOC100246349"
100266056 "LOC100266056"
100266179 "LOC100266179"
100248403 "VIT_13s0067g03760"
100245136 "VIT_08s0007g04710"
100255051 "LOC100255051"
100259653 "HT1_9"
100256113 "VIT_01s0137g00220"
100248972 "LOC100248972"
100248730 "LOC100248730"
100244374 "LOC100244374"
100267253 "LOC100267253"
100246679 "VIT_17s0000g08940"
100242198 "VIT_01s0011g02820"
100250929 "VIT_03s0097g00530"
100250808 "CK203_011733"
100244375 "AHL1_0"
100247401 "VIT_07s0031g02130"
100259862 "LOC100259862"
100246319 "LOC100246319"
100256230 "LOC100256230"
100253086 "LOC100253086"
100257215 "VIT_03s0063g02000"
100259757 "VITISV_001355"
100258668 "LOC100258668"
100255399 "VIT_06s0004g06320"
100256368 "KAN2_0"
100257335 "VIT_07s0005g00770"
100259638 "LOC100259638"
104881174 "LOC104881174"
100256009 "VIT_17s0000g03860"
100260740 "VIT_18s0001g03370"
100258667 "VIT_08s0056g01180"
100259635 "UBQ4_1"
100244263 "LOC100244263"
100247893 "LOC100247893"
100243296 "VIT_17s0000g09870"
100246447 "LOC100246447"
100247653 "VIT_16s0039g02760"
100248501 "VIT_09s0002g01420"
100257570 "VIT_12s0035g00620"
100258784 "LOC100258784"
100254185 "VIT_09s0002g07010"
100254064 "LOC100254064"
100852454 "LOC100852454"
100253980 "VIT_01s0146g00240"
100250110 "VIT_17s0000g09380"
100261248 "VIT_04s0008g03750"
100251323 "VIT_02s0025g04050"
100261124 "LOC100261124"
100248399 "LOC100248399"
100262697 "VIT_18s0001g10430"
100262331 "LOC100262331"
100251447 "LOC100251447"
100261361 "VIT_07s0104g01590"
100260152 "LOC100260152"
100251208 "VIT_06s0061g01410"
100247065 "LOC100247065"
100259281 "VIT_09s0002g08660"
100264761 "VIT_07s0104g01060"
100243821 "VIT_18s0001g13890"
100243820 "VIT_18s0001g12060"
100241641 "VIT_06s0004g06850"
100243944 "LOC100243944"
100264409 "LOC100264409"
100243706 "LOC100243706"
100263319 "LOC100263319"
100250485 "VIT_01s0150g00430"
100261137 "VIT_11s0016g03450"
100254961 "GLUA2_0"
100262589 "LOC100262589"
100255930 "VIT_01s0011g06620"
100252664 "VSR6_1"
100255934 "LOC100255934"
100252789 "LOC100252789"
100250128 "LOC100250128"
100249011 "LOC100249011"
100251218 "OFP13_2"
100232913 "VIT_15s0021g01160"
100248284 "LOC100248284"
100258082 "LOC100258082"
100242500 "VIT_01s0010g02480"
100243951 "VIT_11s0016g02270"
100241658 "LOC100241658"
100244929 "LOC100244929"
100854533 "VIT_08s0032g00950"
100260139 "VIT_06s0009g03800"
100250331 "NAC047_6"
100261589 "VITISV_018410"
100250210 "VvCHDp000911"
100251543 "VIT_11s0078g00250"
100262556 "LOC100262556"
100261345 "VIT_07s0141g00170"
